CS,CORTE SUPREMA DE JUSTICIA DE LA NACION
CM,CONSEJO DE LA MAGISTRATURA
PG,PROCURACION GENERAL DE LA NACION (PGN)
PN,SECRETARIA GENERAL DE LA PRESIDENCIA DE LA NACION
SL,SECRETARIA LEGAL Y TECNICA
PO,CONSEJO NACIONAL DE COORDINACION DE POLITICAS SOCIALES  (CNCPS)
SN,SINDICATURA GENERAL DE LA NACION (SIGEN)
EN,AUTORIDAD REGULATORIA NUCLEAR (ARN)
DI,AGENCIA NACIONAL DE DISCAPACIDAD (ANADIS)
JG,JEFATURA DE GABINETE DE MINISTROS (JGM)
MM,SECRETARIA DE INNOVACION PUBLICA
AA,SECRETARIA DE MEDIOS Y COMUNICACION PUBLICA
SR,SECRETARIA DE PROGRAMACION PARA LA PREVENCION DE LA DROGADICCION Y LUCHA CONTRA EL NARCOTRAFICO (SEDRONAR)
CF,ENTE NACIONAL DE COMUNICACIONES (ENACOM)
BF,AGENCIA DE ADMINISTRACION DE BIENES DEL ESTADO (AABE)
AF,AGENCIA DE ACCESO A LA INFORMACION PUBLICA (AAIP)
MI,MINISTERIO DEL INTERIOR
RP,REGISTRO NACIONAL DE LAS PERSONAS (RENAPER)
DM,DIRECCION NACIONAL DE MIGRACIONES (DNM)
MR,MINISTERIO DE RELACIONES EXTERIORES, COMERCIO INTERNACIONAL Y CULTO
JU,MINISTERIO DE JUSTICIA Y DERECHOS HUMANO
SP,SERVICIO PENITENCIARIO FEDERAL (SPF)
CP,ENTE DE COOPERACION TECNICA Y FINANCIERA DEL SERVICIO PENITENCIARIO FEDERAL (ENCOPE)
PT,PROCURACION DEL TESORO DE LA NACION (PTN)
AI,INSTITUTO NACIONAL DE ASUNTOS INDIGENAS (INAI)
XR,INSTITUTO NACIONAL CONTRA LA DISCRIMINACION, LA XENOFOBIA Y EL RACISMO (INADI)
JV,CENTRO INTERNACIONAL PARA LA PROMOCION DE LOS DERECHOS HUMANOS (CIPDH)
